company_name,skills_required
PattemDigitalTechnologies,"fundamentals,algorithms,softwareengineering,datastructures,hadoop,bigdata,machinelearning,consultant"
aarikahrprofessionals,"algorithms,authoring,businessrules,artificialintelligence,debugging,rest,naturallanguageprocessing,drools,machinelearning,prolog"
CAPITALONEFINANCIALSERVICESCLIENT,"conference,scala,security,java,bigdata,san,python,machinelearning,infrastructure"
mavericsystemslimited,"c#,algorithms,python,microsoftazure,problemsolving,machinelearning,artificialintelligence,javascript,java,mysql"
APPLYCUPHIRINGSOLUTIONSLLP,"algorithms,security,bigdata,teamplayer,machinelearning,writtencommunication,infrastructure"
e-consystemsindiapvt.ltd.,"algorithms,c,lucene,sql,java,imageprocessing,python,c,mobile,problemsolving,machinelearning,infrastructure,opencv"
CAPITALONEFINANCIALSERVICESCLIENT,"orchestration,conference,scala,artificialintelligence,docker,java,bigdata,san,python,machinelearning,infrastructure"
CAPITALONEFINANCIALSERVICESCLIENT,"conference,scala,sql,java,bigdata,san,python,machinelearning,infrastructure"
CAREERXPERTSCONSULTING,"com,algorithms,c,scala,hadoop,python,algorithmdevelopment,machinelearning,mapreduce,infrastructure,hdfs"
AvalanceGlobalSolutionsPvtLtd,"hive,algorithms,python,scala,machinelearning,java,datastructures,hadoop,bigdata,opencv"
AMDIndiaPvtLtd,"algorithms,c,graphics,systemdevelopment,python,problemsolving,teamplayer,machinelearning"
AMDIndiaPvtLtd,"algorithms,c,graphics,systemdevelopment,python,problemsolving,teamplayer,machinelearning"
CAREERXPERTSCONSULTING,"algorithms,python,machinelearning,database,writtencommunication,datastructures,hadoop,bigdata"
JioSaavan,"hive,algorithms,c,java,softwareengineer,datastructures,python,mobile,machinelearning"
AMDIndiaPvtLtd,"algorithms,cuda,c,devicedrivers,linuxinternals,graphics,linux,debugging,datastructures,cache,python,kernel,machinelearning,writtencommunication,infrastructure"
ATAILABS,"imageprocessing,cuda,python,c,github,c,teamplayer,machinelearning,dataextraction,java,devops,linux,debugging,softwareengineering,opencv"
NielsenResearchLtd.Co.,"fundamentals,c,signalprocessing,softwaredesign,linux,debugging,softwareengineering,shellscripting,digitalsignalprocessing,python,cloudservices,c,machinelearning,windows,multimedia,infrastructure,unix"
AMDIndiaPvtLtd,"cuda,devicedrivers,graphics,artificialintelligence,linux,debugging,softwareengineering,cloudcomputing,python,os,problemsolving,machinelearning,writtencommunication,infrastructure"
AMDIndiaPvtLtd,"cuda,devicedrivers,graphics,artificialintelligence,linux,debugging,softwareengineering,cloudcomputing,python,os,problemsolving,machinelearning,writtencommunication,infrastructure"
MaaniaConsultancyServices,"transformers,building,ConversationalSpeech"
CAPITALONEFINANCIALSERVICESCLIENT,"prototyping,designstrategy,san,website,designer,designing,servicedesign"
CAPITALONEFINANCIALSERVICESCLIENT,"prototyping,uxdesigner,uxdesign,san,website,userexperience,designing,wireframes,interactiondesign"
Cogneesol,"datascience,datacleaning,statisticalanalysis"
JobsLoConsultants,"biometrics,infrastructure,SoftwareEngineer"
MaxgenTechnologies,.
MaxgenTechnologies,.
HRJobsPlacements,"datascientist,datascience,seniordatascientist,java,r,nlp,DataModeling,ExtJS,Spark,Python"
HRJobsPlacements,"datascientist,datascience,seniordatascientist,java,r,nlp,DataModeling,ExtJS,Spark,Python"
NamecheapWebservices,"bi,machinelearning,bigdata"
ASTRAZENECAPHARMAINDIALTD,"python,machinelearning,artificialintelligence,oss,html"
paloaltonetworks(india)pvt.ltd.,"algorithms,technicalleader,docker,security,machinelearning"
CAPITALONEFINANCIALSERVICESCLIENT,"conference,scala,java,bigdata,san,python,machinelearning,infrastructure"
CAPITALONEFINANCIALSERVICESCLIENT,"conference,scala,java,bigdata,san,python,machinelearning,infrastructure"
CAPITALONEFINANCIALSERVICESCLIENT,"conference,scala,java,bigdata,san,python,machinelearning,infrastructure"
CareerXpertsConsulting,"naturallanguageprocessing,seniorsoftwareengineer,machinelearning,cloudcomputing"
CAPITALONEFINANCIALSERVICESCLIENT,"conference,scala,java,bigdata,san,python,machinelearning,infrastructure"
Healthcoco,"imageprocessing,python,machinelearning,artificialintelligence,infrastructure"
ORACLE,"algorithms,technicalleader,scala,java,softwareengineering,bigdata,python,oracle,machinelearning"
Plasma,"algorithms,cuda,c,softwaredesign,softwareengineering,rest,python,machinelearning,nosql,cassandra"
ExalogicConsulting,"algorithms,python,informationtechnology,datamining,machinelearning,artificialneuralnetworks"
FlexsinTechnologiesPvtLtd,"algorithms,lucene,artificialintelligence,java,api,lex,python,informationretrieval,it,machinelearning,messaging"
BlocklogyEdutechPrivatelimited,"c,python,c,naturallanguageprocessing,scala,datamining,machinelearning,artificialintelligence,patternrecognition"
JioSaavan,"algorithms,c,seniorsoftwareengineer,java,softwareengineer,datastructures,python,mobile,machinelearning"
paloaltonetworks(india)pvt.ltd.,"algorithms,technicalleader,conference,scala,storage,oss,database,security,java,softwareengineering,mysql,mongodb,python,machinelearning"
VeevaSystems,"algorithms,artificialintelligence,docker,java,softwareengineer,softwareengineering,san,python,cloudservices,naturallanguageprocessing,machinelearning,writtencommunication"
Cotocus,"informationtechnology,artificialintelligence,docker,sql,git,linux,mysql,api,python,rdbms,operatingsystem,machinelearning,windows,django"
DBSBankLtd,"cloudera,scala,docker,java,devops,softwareengineering,api,hadoop,bigdata,python,rdbms,teamplayer,machinelearning,nosql,highperformancecomputing"
Cotocus,"css,informationtechnology,html5,artificialintelligence,docker,java,googleapi,devops,api,bigdata,rest,github,python,machinelearning,javascript,writtencommunication,entrylevel,.net,soap"
VeevaSystems,"algorithms,bi,artificialintelligence,docker,java,softwareengineer,softwareengineering,san,python,cloudservices,naturallanguageprocessing,machinelearning,writtencommunication"
VeevaSystems,"algorithms,seniorsoftwareengineer,hibernate,mockito,artificialintelligence,docker,spring,java,git,linux,mysql,san,python,cloudservices,naturallanguageprocessing,maven,machinelearning,writtencommunication"
VeevaSystems,"algorithms,seniorsoftwareengineer,hibernate,mockito,artificialintelligence,docker,spring,java,git,linux,mysql,san,python,cloudservices,naturallanguageprocessing,maven,machinelearning,writtencommunication"
BusibudSolutionsPvt.Ltd,"MachineLearing,NLP,Python,TensorFlow,Pandas"
JobsLoConsultants,"algorithms,datamining,python,naturallanguageprocessing,machinelearning"
CAPITALONEFINANCIALSERVICESCLIENT,"san,director,teamplayer,machinelearning"
dbsasiahub2,"algorithms,python,machinelearning,infrastructure,unix"
DBSBankLtd,"algorithms,python,machinelearning,infrastructure,unix"
DBSBankLtd,"algorithms,python,machinelearning,infrastructure,unix"
Binance,"algorithms,scala,java,python,machinelearning,infrastructure"
dbsasiahub2,"algorithms,python,machinelearning,infrastructure,unix"
dbsasiahub2,"algorithms,python,teamplayer,machinelearning,sql,git,bigdata"
DBSBankLtd,"algorithms,python,teamplayer,machinelearning,sql,git,bigdata"
crescendoglobal,"algorithms,sql,python,c,machinelearning,javascript,artificialneuralnetworks"
CAPITALONEFINANCIALSERVICESCLIENT,"conference,scala,java,bigdata,san,python,machinelearning,infrastructure"
ORACLE,"security,debugging,softwareengineering,python,oracle,machinelearning,leadershipskills"
VisaInc.,"systemsoftware,security,bigdata,san,machinelearning"
NLPPeople,"algorithms,python,naturallanguageprocessing,mobile,machinelearning,java"
JobsLoConsultants,"algorithms,datamining,python,naturallanguageprocessing,mining,machinelearning"
Scandid,"hive,algorithms,sql,pig,machinelearning,nosql,productionenvironment"
CAPITALONEFINANCIALSERVICESCLIENT,"conference,scala,java,bigdata,san,python,machinelearning,infrastructure"
CAPITALONEFINANCIALSERVICESCLIENT,"scala,sql,softwareengineering,cloudcomputing,san,python,machinelearning"
CitibankIndia,"hive,algorithms,datamining,hadoop,bigdata,python,machinelearning"
CitibankIndia,"hive,algorithms,datamining,hadoop,bigdata,machinelearning"
WALMARTINDIA,"algorithms,informationtechnology,scala,artificialintelligence,docker,java,datastructures,python,solutionarchitect,machinelearning"
CAPITALONEFINANCIALSERVICESCLIENT,"programmanagement,softwareengineering,san,problemsolving,machinelearning,projectdelivery,softwaredeveloper"
NielsenResearchLtd.Co.,"algorithms,datamining,sql,softwareengineering,python,machinelearning,sqlprogramming"
WALMARTINDIA,"informationtechnology,api,python,nosql,hive,algorithms,scala,sql,database,patternrecognition,machinelearning,productionenvironment"
WALMARTINDIA,"informationtechnology,api,python,nosql,hive,algorithms,scala,sql,database,patternrecognition,machinelearning,productionenvironment"
netradyne,"algorithms,c,artificialintelligence,sql,security,shellscripting,rest,python,c,machinelearning,nosql,infrastructure"
NLPPeople,"sql,database,java,python,naturallanguageprocessing,informationretrieval,machinelearning,nosql,consultant,writtencommunication"
Cotocus,"informationtechnology,docker,sql,git,linux,mysql,api,python,rdbms,operatingsystem,machinelearning,windows,django"
VSHSolutions,"python,datawarehousing,machinelearning,sql,nosql,java,git,ror,cassandra,mongodb"
pype,"imageprocessing,python,problemsolving,machinelearning,hadoop,opencv,patternrecognition"
APPLYCUPHIRINGSOLUTIONSLLP,"python,datawarehousing,seniorsoftwareengineer,machinelearning,sql,nosql,java,git,ror,cassandra,mongodb"
CAPITALONEFINANCIALSERVICESCLIENT,"scala,database,java,bigdata,san,python,machinelearning,infrastructure,businessevents"
CAPITALONEFINANCIALSERVICESCLIENT,"orchestration,java,api,bigdata,python,scala,database,san,machinelearning,infrastructure"
JobsLoConsultants,"scala,bootstrap,apache,java,devops,telecom,python,problemsolving,machinelearning"
CAREERXPERTSCONSULTING,"com,hive,algorithms,naturallanguageprocessing,scala,informationretrieval,mining,machinelearning,java,mapreduce"
CAPITALONEFINANCIALSERVICESCLIENT,"algorithms,scala,database,java,bigdata,san,python,naturallanguageprocessing,informationretrieval,machinelearning,infrastructure"
CareerXpertsConsulting,"algorithms,datamining,docker,sql,hadoop,python,naturallanguageprocessing,informationretrieval,machinelearning"
JobsLoConsultants,"python,oracle,problemsolving,machinelearning,artificialintelligence,java,linux,shellscripting,mysql"
CAREERXPERTSCONSULTING,"algorithms,c,scala,apache,hadoop,python,machinelearning,mapreduce,infrastructure,hdfs"
MorganStanleyPvtLtd,"softwareengineering,bigdata,python,director,impala,hive,sql,security,hadoop,hbase,crm,microsoftazure,machinelearning,productionsupport,infrastructure"
IttiamSystems(P)Ltd,"algorithms,c,html5,systemsoftware,java,linux,webdevelopment,technicalskills,posix,operatingsystem,machinelearning,javascript,multimedia"
ATAILABS,"algorithms,cuda,c,dataextraction,java,devops,linux,debugging,softwareengineering,imageprocessing,python,github,c,machinelearning,opencv"
ASTRAZENECAPHARMAINDIALTD,"research,clinicaldata,pharmacology,clinicaltrials,biostatistics,clinical"
ASTRAZENECAPHARMAINDIALTD,"python,artificialintelligence,oss,html"
VisaInc.,"businessrequirements,security,datascience,solutiondesign,usecases,functionalrequirements,san,dataanalysis,director,infrastructure"
IttiamSystems(P)Ltd,"python,rdbms,javascript,docker,java,technicalskills"
NLPPeople,"algorithms,informationtechnology,datamining,sql,d3.js,python,problemsolving,machinelearning,entrylevel"
NLPPeople,"algorithms,python,api,machinelearning"
MorganStanleyPvtLtd,"algorithms,database,hadoop,python,machinelearning"
CAPITALONEFINANCIALSERVICESCLIENT,"algorithms,orchestration,iam,san,machinelearning,messaging"
APPLYCUPHIRINGSOLUTIONSLLP,"imageprocessing,machinelearning,artificialintelligence"
CAPITALONEFINANCIALSERVICESCLIENT,"algorithms,orchestration,iam,san,director,machinelearning,infrastructure"
SonicWallInc.,"c,java,git,debugging,mysql,python,c,linuxprogramming,c#,mobile,machinelearning,windows,javascript"
JobsLoConsultants,"python,java,scala,cassandra,problemsolving,machinelearning,mongodb,sql,docker"
CAPITALONEFINANCIALSERVICESCLIENT,"algorithms,scala,sql,cloudcomputing,bigdata,san,python,machinelearning,messaging,infrastructure"
ASTRAZENECAPHARMAINDIALTD,"c,orchestration,artificialintelligence,apache,python,nosql,algorithms,cuda,softwaredesign,sql,postgresql,mongodb,c,naturallanguageprocessing,mobile,machinelearning,infrastructure"
SAMplacememt,"MachineOperatorSheetMetalFabrication,MachineOperator"
DBSBankLtd,"hive,algorithms,sql,git,softwareengineering,hadoop,bigdata,python,teamplayer,machinelearning"
AMAZONINDIAPVTLTD,"itoperations,author,productmanager,professionalservices,deliverylead"
CAPITALONEFINANCIALSERVICESCLIENT,"administrativeassistant,multitasking,travelarrangements,supplies,administrativetasks,coordinator,administrativeduties,management,administrativesupport,executiveassistant,accommodation,administrativefunctions"
AGUILASS,"algorithms,python,hadoop,softwaredeveloper,machinelearning"
ADPResources,"python,MachineLearning,ArtificialIntelligence,Algorithm,Tableau,DataVisualization,DataAnalysis,DataMining,DataExtraction,DataModeling,R,SQL,DataScience"
GENIQUEMANAGEMENTSERVICESPRIVATELIMITED,"mechanical,Cad,Cam,Cnc,Machining,Casting,catia"
SAMplacememt,"SiteSafetyManager,SafetyEngineering,SiteSafety,SafetyAnalysis,Reliability,SafetyTraining,SafetyManagement,MachineSafety"
AxionCo,"DataManagement,Analysis,StrategicPlanning"
I2CANZOUTSOURCINGPRIVATELIMITED,"ElectricalMachines,PowerElectronics,ElectricalMaintenance,electrician,electricalengineer,ElectricalPowerSystem,Electronic,Power"
ConvateConsultancyServicesPvtLtd,"Architect,Solar,Machinelearning,NLP"
pinkyjobconsultant,"CivilDrafting,DesignDrafting,ArchitecturalDrafting,AutoCad,designengineer,seniordesignengineer,AutoCADMechanical,DesignerCADTechnician,CadEngineer"
NETLABSITCONSULTANCY,"Mcsa,Mcp,Exchange,ExchangeServer5.5"
RajatShisodia,"HRManager,centremanager,branchhead,headchef,HREXCUTIVE,Recruitment,hrexecutive,auditexecutive,Commerce,Accountant,accountassistant,financeexecutive"
RajatShisodia,"HRManager,AdminSecretarial,OfficeManagement,OfficeEquipment,Admin,adminexecutive,executive,misexecutive,projectcoordinator,projectcoordinator,hr,Sec"
RajatShisodia,"HRManager,managerhr,Recruitment,hrexecutive,backofficeexecutive,accountexecutive,assistantaccountant,senioraccountant,BankReconciliation,Accountant"
RajatShisodia,"HRManager,FOODPRODUCTION,assistantchef,headchef,executivechef,Office-mgmt,projectmanager,consultant,projectlead,technicallead,Sales,salesmanager,asm"
RajatShisodia,"HRManager,centremanager,branchhead,sales,salesmanager,assistantsalesmanager,searchengineoptimizer,seoexecutive,projectcoordinator,projectcoordinator"
RajatShisodia,"HRManager,HROperations,HRMarketing,HRPayroll,HumanResourcs,Hr,Recruitment,accountant,ficoconsultant,seniorassociateconsultant,developer,projectengineer"
RajatShisodia,"HRManager,assistantmanagerhr,ProjectManager,seniorprojectmanager,seniormanager,qualitycontroller,seniorofficer,architect,consultant,seniorconsultant"
RajatShisodia,"HRManager,FarmManager,OfficeManager,accountant,ficoconsultant,seniorassociateconsultant,Supervisor,agencysupervisor,Designer,consultant,projectmanager"
RajatShisodia,"HRManager,hrexecutive,auditexecutive,Tax,Accounting,Legal,backofficeexecutive,misexecutive,seniorprocessassociate,accountexecutive,agent,seniorofficer"
RajatShisodia,"HRManager,foodproductoin,Restaurant,FrontOffice,adminexecutive,misexecutive,seniorexecutive,assistantmanager,assistantmanagerhr,HumanResourcs,admin"
RajatShisodia,"HRManager,SUPPLYCHAIN,executive,misexecutive,backendexecutive,assistantmanager,assistantmanagersales,FarmManager,Agriculture,Horticulture,Biotechnology"
RajatShisodia,"HRManager,assistantmanagerhr,AccountAssistant,financeexecutive,misexecutive,backendexecutive,executive,sales,accountant,relationshipmanager,managerit"
RajatShisodia,"HRManager,HRAdministration,adminassistant,officeassistant,frontofficeexecutive,misexecutive,misanalyst,executive,sales,salesexecutive,teamleader"
RajatShisodia,"HRManager,assistantmanagerhr,Recruitment,consultant,seniorconsultant,technicaldirector,AccountAssistant,financeexecutive,misexecutive,seniorexecutive"
RajatShisodia,"HRManager,WarehouseManager,manager,teamleader,projectmanager,associateconsultant,qualityanalyst,operationsmanager,seniorprojectmanager,deliverymanager"
RajatShisodia,"HRManager,managerhr,Recruitment,developer,projectengineer,seniorprojectengineer,ProgramManagement,Project,Housekeeping,FoodProduction,projectmanager"
RajatShisodia,"HRManager,assistantmanagerhr,Recruitment,hrexecutive,backofficeexecutive,accountexecutive,areasalesmanager,areamanager,branchhead,manager,teamleader"
RajatShisodia,"HRManager,managerhr,Sec,Hr,HumanResourcs,Recruitment,hrexecutive,backofficeexecutive,techsupport,assistantmanager,assistantmanagersales,HRPayroll"
RajatShisodia,"Sec,MsOffice,graphicdesigner,seniordesigner,Textile,Designer,consultant,associateconsultant,qualityanalyst,seniorqualityanalyst,qalead,teamlead,hr"
RajatShisodia,"HRManager,managerhr,Sec,MsOffice,graphicdesigner,dtpoperator,graphicdesign,artdirector,graphicsdesigner,administrator,manageradmin,OfficeEquipment"
RajatShisodia,"HRManager,managerhr,HumanResourcs,Hr,Engineering,Civil,Site,Supervisor,agencysupervisor,Designer,designengineer,engineer,technicalsupportengineer,admin"
RajatShisodia,"HRManager,assistantmanagerhr,Sec,Hr,SiteCoordinator,sitesupervisor,projectengineer,btsengineer,bssengineer,assistantengineer,designengineer,engineer"
RajatShisodia,"HRManager,hrexecutive,auditexecutive,Logistic,Recruitment,accountant,relationshipmanager,relationshipofficer,relationshipexecutive,keyaccountmanager"
RajatShisodia,"HRManager,DeputyManager,assistantmanager,financialadvisor,assistantaccountant,cashier,forexmanager,TradeFinance,Forex,Fund,Tax,Legal,Accounting,Accounts"
RajatShisodia,"HRManager,LogisticsManager,SupplyChain,projectmanager,seniorprojectmanager,director,architect,consultant,seniorconsultant,projectlead,technicallead,hr"
RajatShisodia,"HRManager,COORDINATOR,administration,projectmanager,seniorprojectmanager,director,architect,technicalconsultant,consultant,seniorconsultant,projectlead"
RajatShisodia,"HRManager,assistantmanagerhr,HumanResourcs,Recruitment,hrexecutive,auditexecutive,FarmManager,ProjectManager,consultant,recruiter,seniorrecruiter,hr"
RajatShisodia,"HRManager,bdm,marketingexecutive,seniormarketingexecutive,Sales,salesexecutive,directsalesexecutive,Telemarketing,Courier,fieldsalesexecutive,Marketing"
RajatShisodia,"HRManager,ExecutiveBoard,Ms-office,Office-mgmt,Executive,misexecutive,projectcoordinator,projectmanager,manager,branchmanager,branchhead,h,hr,Civil,Site"
RajatShisodia,"HRManager,assistantmanagerhr,Recruitment,consultant,manager,businessanalyst,researchassociate,seniorresearchassociate,FarmManager,Agriculture,admin,hr"
RajatShisodia,"HRManager,hrrecruiter,testingengineer,technicalsupportassociate,executive,misexecutive,seniorexecutive,assistantmanager,agencymanager,teamleader,hr"
RajatShisodia,"HRManager,assistantmanagerhr,Recruitment,hrexecutive,backofficeexecutive,frontofficeexecutive,customerserviceexecutive,salesexecutive,tsm,tsmadmin"
RajatShisodia,"HRManager,FarmManager,Coordinator,administration,projectmanager,seniorprojectmanager,seniorengineeringmanager,Civil,Site,director,webdesigner,artist"
RajatShisodia,"HRManager,SALES,salesexecutive,seniorsalesexecutive,assistantmanager,financialadvisor,regionalsalesmanager,corporatemanager,seniorengineer,teamleader"
RajatShisodia,"HRManager,hrrecruiter,trainingmanager,operationshead,vicepresident,assistantvicepresident,FarmManager,GeneralManager,servicemanager,seniormanager"
RajatShisodia,"HRManager,centremanager,corporatemanager,seniorengineer,maintenanceengineer,bssengineer,rfengineer,siteengineer,siteconsultant,civilengineer,civil"
RajatShisodia,"HRManager,managerhr,HumanResourcs,Hr,Sec,MsOffice,graphicdesigner,seniordesigner,Textile,Garments,FarmManager,Agriculture,Horticulture,FoodProcessing"
RajatShisodia,"HRManager,centremanager,branchhead,Supervisor,agencysupervisor,Designer,designengineer,cadengineer,mechanicaldesignengineer,membertechnicalstaff,civil"
RajatShisodia,"HRManager,FarmManager,OfficeManager,accountant,relationshipmanager,relationshipofficer,keyaccountmanager,seniorconsultant,projectlead,projectmanager"
RajatShisodia,"HRManager,assistantmanagerhr,Sec,Hr,HumanResourcs,Arts,Graphic,GraphicDesign,seniorgraphicdesigner,graphicsdesigner,graphicdesigner,seniordesigner"
RajatShisodia,"HRManager,managerhr,Engineering,Teaching,Lecturer,professor,Civil,Site,FarmManager,Agriculture,Horticulture,FoodProcessing,FoodProcessingIndustry,admin"
RajatShisodia,"HRManager,DesignGeneralEngineering,Civil,generalmanager,servicemanager,areamanager,areasalesmanager,marketingmanager,marketinghead,Trade,MedicalRep"
RajatShisodia,"HRManager,legal,FinancialProducts,Accounting,Accounts,SalesTax,Taxation,Auditing,QualityAuditing,FarmManager,Agriculture,Horticulture,FoodProcessing,hr"
RajatShisodia,"HRManager,assistantmanagerhr,HumanResourcs,Recruitment,hrexecutive,backofficeexecutive,misexecutive,backendexecutive,executive,associate,admin,sec,Sem"
RajatShisodia,"HRManager,hrexecutive,auditexecutive,Tax,Accounting,Legal,FinancialProducts,Bookeeping,Audit,Accountant,relationshipmanager,relationshipofficer,admin,hr"
RajatShisodia,"HRManager,managerhr,Engineering,Civil,Site,Recruitment,hrexecutive,auditexecutive,Statutory,Tax,Legal,Accounting,FinancialAccounting,consultant,recruiter"
ADALIMMIGRATIONSLLP,"teaching,Professor,Lecturer,hod"
